ID_Venda,Data_Venda,Produto,Categoria,Preço_Unitário,Quantidade,Método_Pagamento,Região,Canal_Venda,Tipo_Cliente,Valor_Total
35,2023-01-02 10:00:00,Monitor,Fotografia,3020.16,2,PayPal,Sudeste,Redes Sociais,Recorrente,6040.32
36,2023-01-02 11:00:00,Smartphone,Eletrônicos,3319.63,10,PayPal,Centro-Oeste,Redes Sociais,Recorrente,33196.3
37,2023-01-02 12:00:00,Smartphone,Periféricos,3419.74,1,Cartão de Crédito,Sul,Redes Sociais,Recorrente,3419.74
38,2023-01-02 13:00:00,Teclado,Acessórios,3620.35,10,PayPal,Sul,Website,Recorrente,36203.5
39,2023-01-02 14:00:00,Smartphone,Impressoras,3294.23,9,Boleto Bancário,Nordeste,Redes Sociais,Novo,29648.07
40,2023-01-02 15:00:00,Monitor,Eletrônicos,4987.47,7,Cartão de Crédito,Centro-Oeste,Redes Sociais,Novo,34912.29
41,2023-01-02 16:00:00,Monitor,Periféricos,1334.16,3,Cartão de Crédito,Centro-Oeste,Website,Recorrente,4002.4800000000005
42,2023-01-02 17:00:00,Câmera,Impressoras,2121.9,5,Pix,Nordeste,Website,Novo,10609.5
43,2023-01-02 18:00:00,Smartwatch,Acessórios,1971.96,1,Pix,Nordeste,Website,Recorrente,1971.96
44,2023-01-02 19:00:00,Notebook,Acessórios,224.83,6,Cartão de Crédito,Nordeste,Redes Sociais,Novo,1348.98
45,2023-01-02 20:00:00,Mouse,Eletrônicos,3554.94,9,Cartão de Crédito,Nordeste,Marketplace,Novo,31994.46
46,2023-01-02 21:00:00,Impressora,Eletrônicos,2881.61,1,Cartão de Crédito,Norte,Website,Recorrente,2881.61
47,2023-01-02 22:00:00,Smartphone,Periféricos,990.08,1,Cartão de Crédito,Centro-Oeste,Redes Sociais,Novo,990.08
48,2023-01-02 23:00:00,Teclado,Impressoras,3646.42,9,Cartão de Crédito,Sul,Website,Recorrente,32817.78
49,2023-01-03 00:00:00,Smartphone,Fotografia,1150.7,6,Boleto Bancário,Sul,Marketplace,Novo,6904.200000000001
50,2023-01-03 01:00:00,Impressora,Impressoras,2696.44,2,Cartão de Crédito,Nordeste,Marketplace,Novo,5392.88
51,2023-01-03 02:00:00,Smartwatch,Acessórios,3935.24,5,Boleto Bancário,Nordeste,Website,Novo,19676.199999999997
52,2023-01-03 03:00:00,Câmera,Acessórios,4537.31,1,PayPal,Norte,Marketplace,Novo,4537.31
53,2023-01-03 04:00:00,Monitor,Periféricos,3375.75,4,Boleto Bancário,Nordeste,Website,Recorrente,13503.0
54,2023-01-03 05:00:00,Câmera,Fotografia,2561.21,7,PayPal,Norte,Redes Sociais,Novo,17928.47
55,2023-01-03 06:00:00,Headphone,Periféricos,4234.83,10,Pix,Norte,Marketplace,Novo,42348.3
56,2023-01-03 07:00:00,Smartphone,Acessórios,4211.16,7,Pix,Nordeste,Marketplace,Recorrente,29478.12
57,2023-01-03 08:00:00,Notebook,Acessórios,4388.65,6,Cartão de Crédito,Norte,Website,Novo,26331.899999999998
58,2023-01-03 09:00:00,Headphone,Impressoras,946.62,7,Boleto Bancário,Norte,Website,Novo,6626.34
59,2023-01-03 10:00:00,Smartwatch,Fotografia,533.14,7,PayPal,Sul,Redes Sociais,Recorrente,3731.98
60,2023-01-03 11:00:00,Smartphone,Impressoras,683.32,7,PayPal,Nordeste,Website,Recorrente,4783.240000000001
61,2023-01-03 12:00:00,Headphone,Impressoras,1330.33,7,Boleto Bancário,Sudeste,Redes Sociais,Recorrente,9312.31
62,2023-01-03 13:00:00,Smartphone,Periféricos,4051.3,9,Cartão de Crédito,Norte,Redes Sociais,Recorrente,36461.700000000004
63,2023-01-03 14:00:00,Teclado,Impressoras,3826.45,4,Boleto Bancário,Nordeste,Redes Sociais,Novo,15305.8
64,2023-01-03 15:00:00,Smartwatch,Eletrônicos,956.19,3,Pix,Norte,Website,Novo,2868.57
65,2023-01-03 16:00:00,Mouse,Eletrônicos,3414.58,8,Pix,Norte,Website,Recorrente,27316.64
66,2023-01-03 17:00:00,Monitor,Impressoras,1711.38,3,Cartão de Crédito,Sul,Marketplace,Recorrente,5134.14
67,2023-01-03 18:00:00,Tablet,Fotografia,492.03,4,Boleto Bancário,Sudeste,Website,Recorrente,1968.12
68,2023-01-03 19:00:00,Monitor,Impressoras,1808.65,9,Pix,Sul,Marketplace,Recorrente,16277.85
69,2023-01-03 20:00:00,Monitor,Acessórios,3733.84,7,PayPal,Centro-Oeste,Redes Sociais,Novo,26136.88
70,2023-01-03 21:00:00,Headphone,Acessórios,1570.07,6,PayPal,Sudeste,Redes Sociais,Recorrente,9420.42
71,2023-01-03 22:00:00,Smartwatch,Fotografia,3951.05,7,Boleto Bancário,Sul,Website,Recorrente,27657.350000000002
72,2023-01-03 23:00:00,Smartphone,Periféricos,1690.02,3,Cartão de Crédito,Sudeste,Redes Sociais,Novo,5070.0599999999995
73,2023-01-04 00:00:00,Câmera,Eletrônicos,1339.77,5,PayPal,Centro-Oeste,Website,Recorrente,6698.85
74,2023-01-04 01:00:00,Tablet,Eletrônicos,1505.55,3,PayPal,Norte,Website,Recorrente,4516.65
75,2023-01-04 02:00:00,Impressora,Periféricos,4263.51,3,Pix,Nordeste,Marketplace,Novo,12790.53
76,2023-01-04 03:00:00,Headphone,Impressoras,2379.16,1,PayPal,Sul,Redes Sociais,Novo,2379.16
77,2023-01-04 04:00:00,Tablet,Fotografia,4338.65,2,Boleto Bancário,Sudeste,Marketplace,Novo,8677.3
78,2023-01-04 05:00:00,Mouse,Impressoras,2938.69,1,Boleto Bancário,Sudeste,Redes Sociais,Novo,2938.69
79,2023-01-04 06:00:00,Teclado,Periféricos,4724.29,3,Pix,Centro-Oeste,Marketplace,Novo,14172.869999999999
80,2023-01-04 07:00:00,Smartwatch,Fotografia,402.52,8,Boleto Bancário,Centro-Oeste,Redes Sociais,Novo,3220.16
81,2023-01-04 08:00:00,Impressora,Eletrônicos,4452.66,7,Boleto Bancário,Sul,Redes Sociais,Novo,31168.62
82,2023-01-04 09:00:00,Headphone,Eletrônicos,2527.36,3,Pix,Centro-Oeste,Website,Novo,7582.08
83,2023-01-04 10:00:00,Monitor,Impressoras,4344.11,2,Pix,Nordeste,Redes Sociais,Recorrente,8688.22
84,2023-01-04 11:00:00,Notebook,Acessórios,1939.26,3,Pix,Sul,Marketplace,Recorrente,5817.78
85,2023-01-04 12:00:00,Headphone,Periféricos,1526.86,7,Pix,Norte,Marketplace,Novo,10688.019999999999
86,2023-01-04 13:00:00,Notebook,Periféricos,317.61,8,PayPal,Nordeste,Redes Sociais,Novo,2540.88
87,2023-01-04 14:00:00,Monitor,Impressoras,4278.49,10,Cartão de Crédito,Sul,Redes Sociais,Novo,42784.899999999994
88,2023-01-04 15:00:00,Teclado,Periféricos,729.96,7,Pix,Sul,Website,Recorrente,5109.72
89,2023-01-04 16:00:00,Smartwatch,Eletrônicos,1041.47,10,Boleto Bancário,Sul,Marketplace,Novo,10414.7
90,2023-01-04 17:00:00,Smartphone,Impressoras,2075.5,3,Cartão de Crédito,Sudeste,Website,Recorrente,6226.5
91,2023-01-04 18:00:00,Headphone,Eletrônicos,2868.55,8,Cartão de Crédito,Sul,Marketplace,Recorrente,22948.4
92,2023-01-04 19:00:00,Câmera,Fotografia,4537.77,9,Cartão de Crédito,Sudeste,Redes Sociais,Recorrente,40839.93000000001
93,2023-01-04 20:00:00,Monitor,Fotografia,2314.98,7,PayPal,Sul,Marketplace,Recorrente,16204.86
94,2023-01-04 21:00:00,Headphone,Acessórios,1616.1,9,PayPal,Nordeste,Marketplace,Novo,14544.9
95,2023-01-04 22:00:00,Mouse,Periféricos,3592.56,8,Pix,Sudeste,Redes Sociais,Recorrente,28740.48
96,2023-01-04 23:00:00,Teclado,Fotografia,3905.76,7,Boleto Bancário,Nordeste,Marketplace,Recorrente,27340.32
97,2023-01-05 00:00:00,Mouse,Periféricos,2463.53,6,Pix,Centro-Oeste,Redes Sociais,Recorrente,14781.18
98,2023-01-05 01:00:00,Tablet,Eletrônicos,3173.61,4,Cartão de Crédito,Sudeste,Marketplace,Novo,12694.44
99,2023-01-05 02:00:00,Smartwatch,Impressoras,925.28,3,Pix,Sudeste,Redes Sociais,Novo,2775.84
100,2023-01-05 03:00:00,Tablet,Fotografia,3190.77,7,Cartão de Crédito,Norte,Marketplace,Recorrente,22335.39
101,2023-01-05 04:00:00,Headphone,Impressoras,73.33,10,Boleto Bancário,Sudeste,Marketplace,Novo,733.3
102,2023-01-05 05:00:00,Impressora,Fotografia,1403.96,1,Cartão de Crédito,Nordeste,Website,Novo,1403.96
103,2023-01-05 06:00:00,Impressora,Periféricos,3817.91,10,PayPal,Norte,Website,Novo,38179.1
104,2023-01-05 07:00:00,Smartwatch,Fotografia,884.6,8,Pix,Sul,Website,Novo,7076.8
105,2023-01-05 08:00:00,Câmera,Fotografia,3834.19,4,Pix,Sudeste,Marketplace,Novo,15336.76
106,2023-01-05 09:00:00,Teclado,Eletrônicos,2473.41,9,PayPal,Sul,Marketplace,Novo,22260.69
107,2023-01-05 10:00:00,Câmera,Acessórios,3829.67,5,PayPal,Centro-Oeste,Marketplace,Novo,19148.35
108,2023-01-05 11:00:00,Teclado,Eletrônicos,485.8,7,PayPal,Sul,Marketplace,Novo,3400.6
109,2023-01-05 12:00:00,Monitor,Impressoras,3091.67,9,Cartão de Crédito,Sudeste,Website,Recorrente,27825.03
110,2023-01-05 13:00:00,Headphone,Periféricos,3185.76,10,PayPal,Sul,Redes Sociais,Recorrente,31857.600000000002
111,2023-01-05 14:00:00,Tablet,Periféricos,2046.8,6,Boleto Bancário,Sudeste,Marketplace,Novo,12280.8
112,2023-01-05 15:00:00,Impressora,Fotografia,4828.37,1,Pix,Sudeste,Website,Recorrente,4828.37
113,2023-01-05 16:00:00,Mouse,Periféricos,1947.42,1,Pix,Norte,Website,Recorrente,1947.42
114,2023-01-05 17:00:00,Smartphone,Acessórios,236.74,10,Boleto Bancário,Nordeste,Marketplace,Recorrente,2367.4
115,2023-01-05 18:00:00,Notebook,Acessórios,1037.1,8,Pix,Sul,Marketplace,Novo,8296.8
116,2023-01-05 19:00:00,Smartphone,Fotografia,1896.85,6,PayPal,Sul,Redes Sociais,Recorrente,11381.099999999999
117,2023-01-05 20:00:00,Tablet,Fotografia,119.68,2,Pix,Nordeste,Website,Recorrente,239.36
118,2023-01-05 21:00:00,Tablet,Impressoras,1644.96,10,Boleto Bancário,Sul,Marketplace,Novo,16449.6
119,2023-01-05 22:00:00,Teclado,Fotografia,4174.48,8,PayPal,Norte,Redes Sociais,Recorrente,33395.84
120,2023-01-05 23:00:00,Câmera,Eletrônicos,993.35,2,Cartão de Crédito,Centro-Oeste,Marketplace,Recorrente,1986.7
121,2023-01-06 00:00:00,Smartphone,Eletrônicos,3399.9,3,Cartão de Crédito,Nordeste,Redes Sociais,Recorrente,10199.7
122,2023-01-06 01:00:00,Teclado,Eletrônicos,3152.1,9,PayPal,Nordeste,Website,Novo,28368.899999999998
123,2023-01-06 02:00:00,Teclado,Acessórios,1281.67,5,Pix,Centro-Oeste,Marketplace,Recorrente,6408.35
124,2023-01-06 03:00:00,Câmera,Periféricos,3482.95,8,Boleto Bancário,Nordeste,Marketplace,Recorrente,27863.6
125,2023-01-06 04:00:00,Mouse,Impressoras,1754.53,9,PayPal,Sudeste,Redes Sociais,Recorrente,15790.77
126,2023-01-06 05:00:00,Impressora,Fotografia,688.21,2,Boleto Bancário,Centro-Oeste,Marketplace,Novo,1376.42
127,2023-01-06 06:00:00,Smartwatch,Impressoras,1948.57,9,Cartão de Crédito,Sudeste,Redes Sociais,Recorrente,17537.13
128,2023-01-06 07:00:00,Impressora,Acessórios,2963.92,10,PayPal,Sul,Website,Recorrente,29639.2
129,2023-01-06 08:00:00,Notebook,Fotografia,876.75,2,PayPal,Sudeste,Website,Recorrente,1753.5
130,2023-01-06 09:00:00,Smartphone,Fotografia,4128.03,4,Boleto Bancário,Sudeste,Marketplace,Recorrente,16512.12
131,2023-01-06 10:00:00,Impressora,Acessórios,1526.1,8,Cartão de Crédito,Norte,Marketplace,Novo,12208.8
132,2023-01-06 11:00:00,Smartwatch,Periféricos,1489.6,2,Cartão de Crédito,Sul,Redes Sociais,Recorrente,2979.2
133,2023-01-06 12:00:00,Monitor,Fotografia,3652.77,9,PayPal,Norte,Website,Recorrente,32874.93
134,2023-01-06 13:00:00,Smartphone,Periféricos,3002.03,10,Boleto Bancário,Sul,Marketplace,Novo,30020.300000000003
135,2023-01-06 14:00:00,Smartwatch,Acessórios,1722.28,5,PayPal,Sudeste,Website,Recorrente,8611.4
136,2023-01-06 15:00:00,Teclado,Impressoras,4445.47,10,Pix,Nordeste,Redes Sociais,Recorrente,44454.700000000004
137,2023-01-06 16:00:00,Tablet,Fotografia,4977.59,1,Cartão de Crédito,Nordeste,Marketplace,Novo,4977.59
138,2023-01-06 17:00:00,Mouse,Periféricos,1746.53,6,Cartão de Crédito,Nordeste,Marketplace,Novo,10479.18
139,2023-01-06 18:00:00,Notebook,Fotografia,4511.85,9,PayPal,Norte,Redes Sociais,Novo,40606.65
140,2023-01-06 19:00:00,Smartwatch,Periféricos,1828.29,1,PayPal,Centro-Oeste,Marketplace,Novo,1828.29
141,2023-01-06 20:00:00,Impressora,Fotografia,982.71,8,PayPal,Norte,Marketplace,Recorrente,7861.68
142,2023-01-06 21:00:00,Tablet,Fotografia,4743.02,8,Cartão de Crédito,Norte,Marketplace,Novo,37944.16
143,2023-01-06 22:00:00,Impressora,Fotografia,4595.12,9,Cartão de Crédito,Centro-Oeste,Marketplace,Novo,41356.08
144,2023-01-06 23:00:00,Smartphone,Impressoras,2046.79,8,Cartão de Crédito,Sul,Marketplace,Recorrente,16374.32
145,2023-01-07 00:00:00,Smartwatch,Fotografia,1180.67,10,Pix,Nordeste,Marketplace,Novo,11806.7
146,2023-01-07 01:00:00,Impressora,Periféricos,3649.49,6,PayPal,Sul,Marketplace,Recorrente,21896.94
147,2023-01-07 02:00:00,Câmera,Impressoras,699.47,7,Cartão de Crédito,Centro-Oeste,Website,Recorrente,4896.29
148,2023-01-07 03:00:00,Headphone,Eletrônicos,3683.68,6,Pix,Sudeste,Marketplace,Recorrente,22102.079999999998
149,2023-01-07 04:00:00,Tablet,Periféricos,2968.98,5,PayPal,Norte,Marketplace,Recorrente,14844.9
150,2023-01-07 05:00:00,Monitor,Periféricos,886.47,5,Boleto Bancário,Nordeste,Redes Sociais,Novo,4432.35
151,2023-01-07 06:00:00,Tablet,Eletrônicos,1864.63,3,Boleto Bancário,Sul,Website,Novo,5593.89
152,2023-01-07 07:00:00,Impressora,Impressoras,3270.17,1,PayPal,Sul,Marketplace,Recorrente,3270.17
153,2023-01-07 08:00:00,Impressora,Fotografia,234.95,10,PayPal,Nordeste,Redes Sociais,Novo,2349.5
154,2023-01-07 09:00:00,Notebook,Periféricos,4388.89,5,PayPal,Norte,Website,Novo,21944.45
155,2023-01-07 10:00:00,Câmera,Eletrônicos,1316.16,10,Boleto Bancário,Sudeste,Marketplace,Novo,13161.6
156,2023-01-07 11:00:00,Monitor,Fotografia,2696.93,5,Pix,Sul,Marketplace,Novo,13484.65
157,2023-01-07 12:00:00,Mouse,Impressoras,290.51,1,Boleto Bancário,Nordeste,Marketplace,Novo,290.51
158,2023-01-07 13:00:00,Notebook,Periféricos,4973.67,8,Cartão de Crédito,Sul,Website,Recorrente,39789.36
159,2023-01-07 14:00:00,Smartphone,Fotografia,3326.75,10,PayPal,Norte,Redes Sociais,Novo,33267.5
160,2023-01-07 15:00:00,Monitor,Fotografia,3285.16,3,Boleto Bancário,Norte,Website,Novo,9855.48
161,2023-01-07 16:00:00,Smartwatch,Acessórios,147.72,10,PayPal,Sudeste,Redes Sociais,Recorrente,1477.2
162,2023-01-07 17:00:00,Headphone,Eletrônicos,3464.26,1,Pix,Nordeste,Website,Novo,3464.26
163,2023-01-07 18:00:00,Notebook,Fotografia,2113.04,5,Cartão de Crédito,Nordeste,Redes Sociais,Novo,10565.2
164,2023-01-07 19:00:00,Headphone,Impressoras,1932.26,10,Boleto Bancário,Centro-Oeste,Website,Recorrente,19322.6
165,2023-01-07 20:00:00,Câmera,Acessórios,2759.05,1,Pix,Nordeste,Redes Sociais,Novo,2759.05
166,2023-01-07 21:00:00,Smartphone,Fotografia,2398.26,5,Pix,Nordeste,Redes Sociais,Novo,11991.300000000001
167,2023-01-07 22:00:00,Smartphone,Fotografia,807.98,8,Cartão de Crédito,Sul,Marketplace,Novo,6463.84
168,2023-01-07 23:00:00,Mouse,Impressoras,3491.2,2,Cartão de Crédito,Sudeste,Website,Novo,6982.4
169,2023-01-08 00:00:00,Smartphone,Acessórios,3170.04,3,Cartão de Crédito,Centro-Oeste,Redes Sociais,Novo,9510.119999999999
170,2023-01-08 01:00:00,Impressora,Acessórios,1540.53,9,Pix,Nordeste,Redes Sociais,Recorrente,13864.77
171,2023-01-08 02:00:00,Tablet,Eletrônicos,3325.24,2,Boleto Bancário,Sul,Website,Novo,6650.48
172,2023-01-08 03:00:00,Tablet,Fotografia,3329.29,5,Pix,Centro-Oeste,Redes Sociais,Recorrente,16646.45
173,2023-01-08 04:00:00,Mouse,Eletrônicos,1386.39,5,Boleto Bancário,Sudeste,Website,Novo,6931.950000000001
174,2023-01-08 05:00:00,Impressora,Acessórios,3047.89,3,Pix,Sudeste,Marketplace,Recorrente,9143.67
175,2023-01-08 06:00:00,Tablet,Eletrônicos,728.96,10,Cartão de Crédito,Sudeste,Website,Recorrente,7289.6
176,2023-01-08 07:00:00,Smartwatch,Impressoras,4161.73,5,PayPal,Centro-Oeste,Redes Sociais,Recorrente,20808.649999999998
177,2023-01-08 08:00:00,Impressora,Periféricos,569.33,5,Pix,Norte,Marketplace,Recorrente,2846.65
178,2023-01-08 09:00:00,Câmera,Impressoras,3607.89,5,Pix,Centro-Oeste,Marketplace,Recorrente,18039.45
179,2023-01-08 10:00:00,Teclado,Acessórios,632.79,1,PayPal,Sudeste,Redes Sociais,Recorrente,632.79
180,2023-01-08 11:00:00,Headphone,Impressoras,614.36,2,Pix,Sul,Website,Recorrente,1228.72
181,2023-01-08 12:00:00,Impressora,Acessórios,576.01,10,Pix,Centro-Oeste,Redes Sociais,Novo,5760.1
182,2023-01-08 13:00:00,Headphone,Impressoras,1033.3,3,Pix,Sul,Website,Recorrente,3099.8999999999996
183,2023-01-08 14:00:00,Smartwatch,Fotografia,1038.76,10,Pix,Norte,Redes Sociais,Novo,10387.6
184,2023-01-08 15:00:00,Teclado,Fotografia,1351.82,3,Pix,Sudeste,Website,Novo,4055.46
185,2023-01-08 16:00:00,Monitor,Impressoras,2639.57,8,Boleto Bancário,Sudeste,Marketplace,Recorrente,21116.56
186,2023-01-08 17:00:00,Mouse,Eletrônicos,1048.28,6,Boleto Bancário,Sul,Redes Sociais,Recorrente,6289.68
187,2023-01-08 18:00:00,Impressora,Acessórios,3532.01,3,Boleto Bancário,Norte,Website,Novo,10596.03
188,2023-01-08 19:00:00,Mouse,Fotografia,1511.99,5,Pix,Sudeste,Website,Novo,7559.95
189,2023-01-08 20:00:00,Smartphone,Acessórios,245.06,4,Pix,Centro-Oeste,Redes Sociais,Novo,980.24
190,2023-01-08 21:00:00,Headphone,Fotografia,2506.96,8,Boleto Bancário,Sul,Marketplace,Recorrente,20055.68
191,2023-01-08 22:00:00,Headphone,Periféricos,1078.09,3,Cartão de Crédito,Norte,Redes Sociais,Novo,3234.2699999999995
192,2023-01-08 23:00:00,Smartphone,Impressoras,4668.97,9,Boleto Bancário,Sul,Website,Novo,42020.73
193,2023-01-09 00:00:00,Monitor,Fotografia,1686.49,1,Pix,Sudeste,Marketplace,Recorrente,1686.49
194,2023-01-09 01:00:00,Notebook,Impressoras,63.55,6,Pix,Sul,Website,Novo,381.29999999999995
195,2023-01-09 02:00:00,Câmera,Periféricos,3374.58,2,Cartão de Crédito,Centro-Oeste,Marketplace,Novo,6749.16
196,2023-01-09 03:00:00,Impressora,Acessórios,4539.06,3,Boleto Bancário,Sudeste,Marketplace,Recorrente,13617.18
197,2023-01-09 04:00:00,Headphone,Impressoras,4184.4,10,PayPal,Norte,Marketplace,Novo,41844.0
198,2023-01-09 05:00:00,Câmera,Fotografia,3361.66,3,Cartão de Crédito,Norte,Website,Recorrente,10084.98
199,2023-01-09 06:00:00,Headphone,Periféricos,788.27,8,Pix,Sudeste,Redes Sociais,Recorrente,6306.16
200,2023-01-09 07:00:00,Notebook,Fotografia,495.91,7,Cartão de Crédito,Norte,Redes Sociais,Novo,3471.3700000000003
201,2023-01-09 08:00:00,Smartphone,Periféricos,2582.94,7,Cartão de Crédito,Nordeste,Website,Novo,18080.58
202,2023-01-09 09:00:00,Notebook,Periféricos,3631.64,4,PayPal,Sudeste,Website,Recorrente,14526.56
203,2023-01-09 10:00:00,Headphone,Fotografia,551.39,8,PayPal,Sudeste,Website,Novo,4411.12
204,2023-01-09 11:00:00,Smartphone,Impressoras,1316.67,3,Cartão de Crédito,Centro-Oeste,Website,Novo,3950.01
205,2023-01-09 12:00:00,Notebook,Acessórios,1194.24,4,Boleto Bancário,Sudeste,Redes Sociais,Recorrente,4776.96
206,2023-01-09 13:00:00,Monitor,Acessórios,4943.9,10,Cartão de Crédito,Centro-Oeste,Website,Novo,49439.0
207,2023-01-09 14:00:00,Smartphone,Periféricos,1515.31,6,PayPal,Sudeste,Redes Sociais,Recorrente,9091.86
208,2023-01-09 15:00:00,Impressora,Fotografia,2348.17,1,PayPal,Centro-Oeste,Marketplace,Novo,2348.17
209,2023-01-09 16:00:00,Headphone,Periféricos,544.05,5,PayPal,Centro-Oeste,Marketplace,Novo,2720.25
210,2023-01-09 17:00:00,Smartwatch,Acessórios,914.77,2,PayPal,Nordeste,Website,Novo,1829.54
211,2023-01-09 18:00:00,Mouse,Periféricos,245.25,1,PayPal,Norte,Website,Recorrente,245.25
212,2023-01-09 19:00:00,Headphone,Periféricos,1488.31,3,Pix,Sul,Marketplace,Novo,4464.93
213,2023-01-09 20:00:00,Impressora,Acessórios,4017.9,8,Cartão de Crédito,Centro-Oeste,Marketplace,Recorrente,32143.2
214,2023-01-09 21:00:00,Tablet,Impressoras,1597.9,7,Boleto Bancário,Nordeste,Website,Recorrente,11185.300000000001
215,2023-01-09 22:00:00,Câmera,Periféricos,3705.77,8,Boleto Bancário,Centro-Oeste,Website,Novo,29646.16
216,2023-01-09 23:00:00,Câmera,Impressoras,520.24,5,Pix,Sul,Redes Sociais,Novo,2601.2
217,2023-01-10 00:00:00,Mouse,Periféricos,3803.11,8,Cartão de Crédito,Sudeste,Redes Sociais,Recorrente,30424.88
218,2023-01-10 01:00:00,Headphone,Fotografia,277.15,9,PayPal,Centro-Oeste,Website,Novo,2494.35
219,2023-01-10 02:00:00,Mouse,Periféricos,4267.39,4,PayPal,Nordeste,Website,Recorrente,17069.56
220,2023-01-10 03:00:00,Teclado,Periféricos,3333.61,7,Boleto Bancário,Norte,Marketplace,Novo,23335.27
221,2023-01-10 04:00:00,Headphone,Eletrônicos,894.04,7,Boleto Bancário,Sudeste,Redes Sociais,Recorrente,6258.28
222,2023-01-10 05:00:00,Smartphone,Fotografia,1819.76,8,Pix,Norte,Website,Recorrente,14558.08
